_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry,Latitude,Longitude,area,score
1541,558,1698,COMMANDER RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",140 COMMANDER BLVD,416-396-4024,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=558,"{""coordinates"": [[-79.2678467678406, 43.7950376044518]], ""type"": ""MultiPoint""}",43.7950376044518,-79.2678467678406,other,0.4
1542,823,500,HORNER AVENUE SENIORS CENTRE,Community Centre,"Washroom, Wi-Fi",320 HORNER AVE,416-394-6000,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=823,"{""coordinates"": [[-79.526837697179, 43.6062839154257]], ""type"": ""MultiPoint""}",43.6062839154257,-79.526837697179,other,0.4
1543,85,2085,MAIN SQUARE COMMUNITY RECREATION CENTRE,Community Centre,"Washroom, Wi-Fi",245 MAIN ST,416-392-1070,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=85,"{""coordinates"": [[-79.2997884943715, 43.687172370629]], ""type"": ""MultiPoint""}",43.687172370629,-79.2997884943715,other,0.39811018504255513
1544,896,1764,GUS RYDER POOL AND HEALTH CLUB,Community Centre,"Washroom, Wi-Fi",1 FAUSTINA DR,416-394-8726,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=896,"{""coordinates"": [[-79.5219470074183, 43.6012154857506]], ""type"": ""MultiPoint""}",43.6012154857506,-79.5219470074183,other,0.2714948877985331
1545,460,1048,TORONTO TRACK AND FIELD CENTRE,Community Centre,"Washroom, Wi-Fi",231 IAN MAC DONALD BLVD,416-395-7939,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=460,"{""coordinates"": [[-79.5069737332141, 43.7765902105189]], ""type"": ""MultiPoint""}",43.7765902105189,-79.5069737332141,other,0.4
1546,1236,13038,JOHN ENGLISH COMMUNITY SCHOOL,Community Centre,,95 MIMICO AVE,416-394-8711,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1236,"{""coordinates"": [[-79.4944970015943, 43.6119013028756]], ""type"": ""MultiPoint""}",43.6119013028756,-79.4944970015943,other,0.2
1547,821,1813,ISLINGTON SENIORS' CENTRE,Community Centre,Washroom,4968 DUNDAS ST W,416-231-3431,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=821,"{""coordinates"": [[-79.5301211529075, 43.6476579525595]], ""type"": ""MultiPoint""}",43.6476579525595,-79.5301211529075,other,0.30000000000000004
1548,1344,13068,ST. MARCELLUS COMMUNITY SCHOOL,Community Centre,Wi-Fi,15 DENFIELD ST,416-394-5490,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1344,"{""coordinates"": [[-79.5541857778157, 43.6797144896385]], ""type"": ""MultiPoint""}",43.6797144896385,-79.5541857778157,other,0.2514840542637443
1549,535,13011,BERNER TRAIL COMMUNITY CENTRE,Community Centre,Washroom,120 BERNER TRAIL,416-396-4054,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=535,"{""coordinates"": [[-79.2209282273814, 43.8018223190753]], ""type"": ""MultiPoint""}",43.8018223190753,-79.2209282273814,other,0.2795881256339282
1550,36,1720,EARL BEATTY COMMUNITY CENTRE,Community Centre,Washroom,455 GLEBEHOLME BLVD,416-392-0752,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=36,"{""coordinates"": [[-79.321148492192, 43.6861614666067]], ""type"": ""MultiPoint""}",43.6861614666067,-79.321148492192,other,0.30000000000000004
